h1,h2,iteration,learning_rate,sigmoid_testError,tanh_testError
3,3,4000,0.041,0.125746632,1.999969637
3,3,4000,0.051,0.148292829,1.999989537
3,3,4000,0.061,0.890470772,1.999580271
3,3,4000,0.071,0.356334485,1.999999999
3,3,4000,0.081,0.890462955,1.999999994
3,3,4000,0.091,0.361526333,1.999999781
3,3,4000,0.101,0.890462934,2
3,3,5000,0.001,0.303023542,0.131581105
3,3,5000,0.011,0.128365982,0.890460894
3,3,5000,0.021,0.132026635,0.876244616
3,3,5000,0.031,0.128003149,1.999880027
3,3,5000,0.041,0.139428993,1.999999255
3,3,5000,0.051,0.125381762,1.999972383
3,3,5000,0.061,0.890469129,1.999999923
3,3,5000,0.071,0.355599735,1.999999999
3,3,5000,0.081,0.890462955,1.999999994
3,3,5000,0.091,0.358114373,1.999999765
3,3,5000,0.101,0.890462934,2
3,4,500,0.001,0.894379684,0.385003479
3,4,500,0.011,0.412507219,0.892593869
3,4,500,0.021,0.35406092,1.999672295
3,4,500,0.031,0.369764239,1.999996795
3,4,500,0.041,0.890323729,3.999997249
3,4,500,0.051,0.890495716,1.999999784
3,4,500,0.061,0.456957998,1.999983628
3,4,500,0.071,0.890502568,1.999998316
3,4,500,0.081,0.381806804,4.199979235
3,4,500,0.091,0.890436123,4.199996405
3,4,500,0.101,0.775261161,2
3,4,800,0.001,0.872392675,0.374778231
3,4,800,0.011,0.370008012,0.890608292
3,4,800,0.021,0.333307658,1.998279126
3,4,800,0.031,0.365138657,1.999996698
3,4,800,0.041,0.394924711,3.999997206
3,4,800,0.051,0.89046615,1.999999782
3,4,800,0.061,0.359190875,1.999999935
3,4,800,0.071,0.890489682,1.999998192
3,4,800,0.081,0.828548557,4.199966649
3,4,800,0.091,0.890455272,4.199996044
3,4,800,0.101,0.890455408,2
3,4,1000,0.001,0.848801013,0.386125418
3,4,1000,0.011,0.343180886,0.89048492
3,4,1000,0.021,0.31157351,1.999674189
3,4,1000,0.031,0.354265584,1.99999663
3,4,1000,0.041,0.359438631,3.999997176
3,4,1000,0.051,0.890466982,1.999999782
3,4,1000,0.061,0.361742752,1.999999935
3,4,1000,0.071,0.890485288,1.999998098
3,4,1000,0.081,0.871284981,4.199940772
3,4,1000,0.091,0.890453676,4.19999576
3,4,1000,0.101,0.890445814,2
3,4,1500,0.001,0.752636177,0.233448157
3,4,1500,0.011,0.342190876,0.890461872
3,4,1500,0.021,0.146588665,1.998855149
3,4,1500,0.031,0.355385904,1.999996443
3,4,1500,0.041,0.374235176,3.9999971
3,4,1500,0.051,0.890458782,1.99999978
3,4,1500,0.061,0.36484094,1.999999935
3,4,1500,0.071,0.890479308,1.999997816
3,4,1500,0.081,0.890462725,1.999998397
3,4,1500,0.091,0.890442616,4.199994833
3,4,1500,0.101,0.364152804,2
3,4,2000,0.001,0.643034681,0.146412024
3,4,2000,0.011,0.280822346,0.890461492
3,4,2000,0.021,0.117879235,1.995943665
3,4,2000,0.031,0.093486276,1.999996228
3,4,2000,0.041,0.335730485,3.999997019
3,4,2000,0.051,0.890445184,1.999999778
3,4,2000,0.061,0.357675914,1.999999935
3,4,2000,0.071,0.890476056,1.999997435
3,4,2000,0.081,0.890462721,1.999998169
3,4,2000,0.091,0.890462873,4.199993386
3,4,2000,0.101,0.890462904,2
3,4,3000,0.001,0.508571741,0.100041458
3,4,3000,0.011,0.080851904,0.890461016
3,4,3000,0.021,0.122576898,1.953464035
3,4,3000,0.031,0.092132883,1.999995683
3,4,3000,0.041,0.312431814,3.999996842
3,4,3000,0.051,0.356377106,1.999999774
3,4,3000,0.061,0.35628782,1.999999934
3,4,3000,0.071,1.053686152,1.999996062
3,4,3000,0.081,0.890462714,1.999997441
3,4,3000,0.091,0.890462873,4.199984983
3,4,3000,0.101,0.890462903,2
3,4,4000,0.001,0.450382575,0.104898282
3,4,4000,0.011,0.104403324,0.890460412
3,4,4000,0.021,0.123323305,1.998345562
3,4,4000,0.031,0.118371347,1.999994892
3,4,4000,0.041,0.305281712,3.999996644
3,4,4000,0.051,0.355162702,1.99999977
3,4,4000,0.061,0.35491482,1.999999933
3,4,4000,0.071,0.890462529,1.999991527
3,4,4000,0.081,0.890462707,1.999995754
3,4,4000,0.091,0.890462872,2
3,4,4000,0.101,0.890462903,2
3,4,5000,0.001,0.421811983,0.109118514
3,4,5000,0.011,0.119738355,0.890459582
3,4,5000,0.021,0.12768729,1.99697674
3,4,5000,0.031,0.127401877,1.999993625
3,4,5000,0.041,0.352519203,3.999996418
3,4,5000,0.051,0.353841182,1.999999765
3,4,5000,0.061,0.354317222,1.999999933
3,4,5000,0.071,0.890462518,2
